Variable,Categoría,Comuna,Valor
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 04,184
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 04,7213
¿Lo atendieron?,No,Comuna 04,49
¿Lo atendieron?,No informa,Comuna 04,0
¿Lo atendieron?,Sí,Comuna 04,2789
¿Donde nacio?,En este mpio,Comuna 04,13109
¿Donde nacio?,En otro mpio Colombiano,Comuna 04,9239
¿Donde nacio?,En otro país,Comuna 04,259
¿Donde nacio?,No Informa,Comuna 04,231
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 04,21817
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 04,487
¿En donde vivía hace 12 meses ?,En otro país,Comuna 04,152
¿En donde vivía hace 12 meses ?,No Informa,Comuna 04,222
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 04,160
¿En donde vivía hace 5 años ?,En este mpio,Comuna 04,19377
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 04,2078
¿En donde vivía hace 5 años ?,En otro país,Comuna 04,338
¿En donde vivía hace 5 años ?,No Informa,Comuna 04,303
¿En donde vivía hace 5 años ?,No había nacido,Comuna 04,742
¿Sabe leer y escribir?,No,Comuna 04,421
¿Sabe leer y escribir?,No informa,Comuna 04,230
¿Sabe leer y escribir?,Sí,Comuna 04,21378
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 04,809
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 04,944
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 04,1058
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 04,6
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 04,1619
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 04,2073
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 04,1830
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 04,1482
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 04,1559
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 04,1363
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 04,1473
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 04,1672
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 04,1736
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 04,1546
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 04,1229
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 04,901
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 04,687
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 04,459
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 04,263
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 04,92
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 04,37
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 04,19011
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 04,220
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 04,3607
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 04,5813
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 04,507
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 04,206
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 04,908
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 04,497
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 04,9014
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 04,2821
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 04,1319
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 04,3804
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 04,2710
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 04,165
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 04,1617
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 04,4904
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 04,336
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 04,344
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 04,292
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 04,132
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 04,297
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 04,2651
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 04,4942
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 04,7034
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 04,8549
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 04,414
Parentesco con el jefe del hogar,Otros Parientes,Comuna 04,3018
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 04,3823
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 04,2838
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 04,2
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 04,83
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 04,351
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 04,4
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 04,5
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 04,0
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 04,53
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 04,96
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 04,175
¿Cual es el sexo de...?,Hombre,Comuna 04,10137
¿Cual es el sexo de...?,Mujer,Comuna 04,12701
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 04,860
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 04,3251
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 04,1157
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 04,193
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 04,287
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 04,257
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 04,3118
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 04,80
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 04,9317
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 04,2565
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 04,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 04,328
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 04,22510
Estrato de esta vivienda,Estrato 1,Comuna 04,1131
Estrato de esta vivienda,Estrato 2,Comuna 04,916
Estrato de esta vivienda,Estrato 3,Comuna 04,12409
Estrato de esta vivienda,Estrato 4,Comuna 04,5874
Estrato de esta vivienda,Estrato 5,Comuna 04,1365
Estrato de esta vivienda,Estrato 6,Comuna 04,961
Estrato de esta vivienda,No sabe el estrato,Comuna 04,20
Estrato de esta vivienda,Sin estrato,Comuna 04,26
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 04,136
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 04,22702
La vivienda cuenta con servicios de Acueducto?,No,Comuna 04,516
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 04,22322
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 04,822
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 04,22016
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 04,2618
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 04,181
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 04,20039
¿Cuántas veces por semana?,1 vez,Comuna 04,187
¿Cuántas veces por semana?,2 veces,Comuna 04,20004
¿Cuántas veces por semana?,3 veces,Comuna 04,1747
¿Cuántas veces por semana?,4 veces,Comuna 04,20
¿Cuántas veces por semana?,5 veces,Comuna 04,25
¿Cuántas veces por semana?,6 veces,Comuna 04,13
¿Cuántas veces por semana?,7 veces,Comuna 04,32
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 04,18
¿Cuántas veces por semana?,No sabe,Comuna 04,108
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 04,684
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 04,22154
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 04,4393
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 04,181
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 04,18264
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 04,22838
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 04,17174
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 04,28
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 04,4550
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 04,24
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 04,212
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 04,121
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 04,28
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 04,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 04,701
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 04,17764
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 04,808
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 04,1658
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 04,2244
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 04,199
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 04,157
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 04,40
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 04,598
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 04,21781
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 04,69
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 04,29
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 04,164
Tipo vivienda,Apartamento,Comuna 04,13182
Tipo vivienda,Casa,Comuna 04,9443
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 04,5
Tipo vivienda,Tipo cuarto,Comuna 04,163
Tipo vivienda,Vivienda tradicional Indígena,Comuna 04,45
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 04,0
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 05,42876
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 05,4576
Fuente para preparar los alimentos,Acueducto público?,Comuna 05,44427
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 05,648
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 05,47
Fuente para preparar los alimentos,Agua lluvia?,Comuna 05,203
Fuente para preparar los alimentos,Aguatero?,Comuna 05,33
Fuente para preparar los alimentos,Carrotanque?,Comuna 05,25
Fuente para preparar los alimentos,No informa,Comuna 05,207
Fuente para preparar los alimentos,Pila pública?,Comuna 05,9
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 05,220
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 05,305
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 05,470
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 05,705
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 05,44093
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 05,337
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 05,719
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 05,1918
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 05,160
Lugar donde preparan los alimentos,No informa,Comuna 05,72
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 05,153
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 05,3265
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 05,841
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 05,330
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 05,881
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 05,32409
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 05,358
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 05,12056
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 05,7113
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 05,328
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 05,14703
¿Lo atendieron?,No,Comuna 05,112
¿Lo atendieron?,No informa,Comuna 05,0
¿Lo atendieron?,Sí,Comuna 05,5317
¿Donde nacio?,En este mpio,Comuna 05,30623
¿Donde nacio?,En otro mpio Colombiano,Comuna 05,16212
¿Donde nacio?,En otro país,Comuna 05,310
¿Donde nacio?,No Informa,Comuna 05,307
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 05,45751
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 05,732
¿En donde vivía hace 12 meses ?,En otro país,Comuna 05,181
¿En donde vivía hace 12 meses ?,No Informa,Comuna 05,318
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 05,470
¿En donde vivía hace 5 años ?,En este mpio,Comuna 05,41321
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 05,2783
¿En donde vivía hace 5 años ?,En otro país,Comuna 05,388
¿En donde vivía hace 5 años ?,No Informa,Comuna 05,443
¿En donde vivía hace 5 años ?,No había nacido,Comuna 05,2517
¿Sabe leer y escribir?,No,Comuna 05,1935
¿Sabe leer y escribir?,No informa,Comuna 05,358
¿Sabe leer y escribir?,Sí,Comuna 05,42530
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 05,2629
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 05,2998
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 05,3638
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 05,5
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 05,4126
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 05,4326
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 05,4083
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 05,3873
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 05,3733
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 05,3078
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 05,3123
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 05,3076
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 05,2731
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 05,2135
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 05,1479
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 05,1068
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 05,637
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 05,422
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 05,205
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 05,74
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 05,13
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 05,40549
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 05,311
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 05,6592
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 05,9623
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 05,356
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 05,300
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 05,1388
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 05,1738
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 05,16948
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 05,9790
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 05,1682
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 05,12531
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 05,8057
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 05,81
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 05,585
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 05,12104
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 05,502
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 05,1170
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 05,471
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 05,95
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 05,862
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 05,4623
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 05,3823
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 05,17134
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 05,15020
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 05,606
Parentesco con el jefe del hogar,Otros Parientes,Comuna 05,6211
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 05,8481
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 05,5429
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 05,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 05,138
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 05,222
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 05,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 05,1
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 05,1
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 05,163
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 05,206
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 05,431
¿Cual es el sexo de...?,Hombre,Comuna 05,22486
¿Cual es el sexo de...?,Mujer,Comuna 05,24966
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 05,2095
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 05,7044
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 05,2703
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 05,536
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 05,489
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 05,826
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 05,7275
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 05,254
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 05,18863
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 05,1740
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 05,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 05,808
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 05,46644
Estrato de esta vivienda,Estrato 1,Comuna 05,14621
Estrato de esta vivienda,Estrato 2,Comuna 05,25226
Estrato de esta vivienda,Estrato 3,Comuna 05,6164
Estrato de esta vivienda,Estrato 4,Comuna 05,581
Estrato de esta vivienda,Estrato 5,Comuna 05,74
Estrato de esta vivienda,Estrato 6,Comuna 05,91
Estrato de esta vivienda,No sabe el estrato,Comuna 05,31
Estrato de esta vivienda,Sin estrato,Comuna 05,188
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 05,476
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 05,46976
La vivienda cuenta con servicios de Acueducto?,No,Comuna 05,1844
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 05,45608
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 05,2737
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 05,44715
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 05,4519
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 05,178
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 05,42755
¿Cuántas veces por semana?,1 vez,Comuna 05,1876
¿Cuántas veces por semana?,2 veces,Comuna 05,39549
¿Cuántas veces por semana?,3 veces,Comuna 05,3473
¿Cuántas veces por semana?,4 veces,Comuna 05,46
¿Cuántas veces por semana?,5 veces,Comuna 05,16
¿Cuántas veces por semana?,6 veces,Comuna 05,14
¿Cuántas veces por semana?,7 veces,Comuna 05,19
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 05,10
¿Cuántas veces por semana?,No sabe,Comuna 05,30
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 05,2419
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 05,45033
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 05,16127
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 05,178
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 05,31147
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 05,47452
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 05,35573
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 05,398
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 05,9193
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 05,75
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 05,733
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 05,451
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 05,132
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 05,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 05,897
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 05,37408
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 05,6097
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 05,1366
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 05,1443
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 05,1057
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 05,571
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 05,257
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 05,1859
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 05,44385
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 05,147
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 05,63
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 05,170
Tipo vivienda,Apartamento,Comuna 05,17391
Tipo vivienda,Casa,Comuna 05,29471
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 05,22
Tipo vivienda,Tipo cuarto,Comuna 05,353
Tipo vivienda,Vivienda tradicional Indígena,Comuna 05,215
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 05,0
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 06,29446
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 06,2159
Fuente para preparar los alimentos,Acueducto público?,Comuna 06,30121
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 06,258
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 06,41
Fuente para preparar los alimentos,Agua lluvia?,Comuna 06,72
Fuente para preparar los alimentos,Aguatero?,Comuna 06,24
Fuente para preparar los alimentos,Carrotanque?,Comuna 06,0
Fuente para preparar los alimentos,No informa,Comuna 06,327
Fuente para preparar los alimentos,Pila pública?,Comuna 06,2
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 06,93
